latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
6.29174,124.9456,315.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²)
2015-01-01,27.4,21.5,5.40,15.93
2015-01-02,27.4,21.8,1.60,14.59
2015-01-03,28.6,21.3,5.50,18.56
2015-01-04,28.9,22.3,1.10,20.44
2015-01-05,28.6,21.4,16.40,15.30
2015-01-06,28.8,21.7,3.70,19.87
2015-01-07,28.6,22.1,5.50,18.01
2015-01-08,28.7,21.8,2.90,18.47
2015-01-09,27.4,21.6,15.90,13.56
2015-01-10,27.0,21.9,1.10,12.42
2015-01-11,28.1,21.9,0.00,17.96
2015-01-12,28.3,22.0,0.20,17.69
2015-01-13,28.6,22.7,0.50,16.13
2015-01-14,28.0,23.1,3.50,15.37
2015-01-15,28.4,21.5,6.60,15.97
2015-01-16,29.4,22.7,0.40,19.93
2015-01-17,29.8,23.4,0.40,19.27
2015-01-18,29.3,22.3,7.00,18.47
2015-01-19,28.4,22.2,14.40,13.98
2015-01-20,27.2,22.2,4.60,12.85
2015-01-21,28.2,21.3,3.40,16.91
2015-01-22,28.3,22.0,5.50,18.23
2015-01-23,28.7,22.1,0.90,19.65
2015-01-24,28.7,21.7,3.00,19.77
2015-01-25,29.2,22.0,0.00,23.35
2015-01-26,27.7,22.0,3.90,15.47
2015-01-27,28.8,22.0,11.00,15.96
2015-01-28,27.8,22.2,4.60,18.23
2015-01-29,29.2,22.7,1.20,20.60
2015-01-30,28.1,21.3,6.80,16.10
2015-01-31,28.2,20.7,0.50,19.58
2015-02-01,28.5,20.9,0.00,21.09
2015-02-02,27.8,20.5,12.40,19.33
2015-02-03,27.4,21.3,4.00,19.51
2015-02-04,27.5,21.2,0.40,19.40
2015-02-05,28.0,21.3,2.20,20.93
2015-02-06,28.1,21.3,0.50,20.34
2015-02-07,28.7,21.8,1.10,21.38
2015-02-08,28.9,21.9,14.50,19.86
2015-02-09,28.7,21.8,3.20,19.85
2015-02-10,28.7,22.3,3.10,20.42
2015-02-11,28.8,22.5,3.80,18.50
2015-02-12,28.5,22.2,13.80,15.20
2015-02-13,28.5,22.1,2.80,19.27
2015-02-14,27.9,21.7,4.70,17.82
2015-02-15,28.6,20.5,0.20,21.87
2015-02-16,29.1,21.9,0.00,21.43
2015-02-17,29.2,21.5,0.00,22.37
2015-02-18,29.3,21.9,0.00,24.05
2015-02-19,28.9,21.1,0.60,21.87
2015-02-20,29.2,20.9,0.10,22.27
2015-02-21,28.8,21.6,1.50,22.59
2015-02-22,29.8,21.1,0.00,25.18
2015-02-23,30.0,22.4,0.00,24.22
2015-02-24,29.4,22.9,1.30,18.74
2015-02-25,28.8,22.6,5.20,14.27
2015-02-26,29.7,21.7,2.60,19.53
2015-02-27,30.3,21.6,0.50,23.05
2015-02-28,30.5,21.6,0.30,22.97
2015-03-01,31.2,22.2,0.40,24.09
2015-03-02,30.7,22.5,1.50,21.91
2015-03-03,29.6,21.8,2.50,19.53
2015-03-04,29.2,21.7,1.90,17.29
2015-03-05,31.7,22.2,1.10,23.32
2015-03-06,29.1,21.7,3.20,14.37
2015-03-07,30.6,21.3,0.70,22.33
2015-03-08,29.9,22.2,0.70,22.32
2015-03-09,30.8,22.7,3.30,22.55
2015-03-10,30.8,21.4,1.40,23.36
2015-03-11,31.6,22.1,0.00,27.30
2015-03-12,31.7,22.1,0.10,24.52
2015-03-13,30.4,22.9,0.70,21.43
2015-03-14,31.7,22.3,0.90,22.13
2015-03-15,31.9,22.3,0.10,24.08
2015-03-16,30.2,22.4,2.40,20.65
2015-03-17,31.7,21.5,0.50,23.72
2015-03-18,32.1,22.5,0.00,23.98
2015-03-19,31.7,23.5,0.10,19.32
2015-03-20,30.3,23.6,3.40,18.87
2015-03-21,32.9,23.3,0.30,22.90
2015-03-22,31.6,23.3,3.10,21.47
2015-03-23,32.6,22.4,0.50,24.03
2015-03-24,30.1,22.7,4.00,16.15
2015-03-25,30.8,21.4,0.00,21.28
2015-03-26,32.5,22.5,0.00,26.85
2015-03-27,30.3,23.1,1.10,16.61
2015-03-28,31.3,22.4,1.80,19.51
2015-03-29,33.1,22.9,0.00,24.45
2015-03-30,32.1,23.3,2.10,22.46
2015-03-31,32.3,22.4,0.40,22.01
2015-04-01,34.4,24.0,0.00,27.12
2015-04-02,33.7,23.7,0.30,23.46
2015-04-03,32.8,24.2,1.70,22.22
2015-04-04,31.3,23.4,4.00,17.32
2015-04-05,32.5,23.2,1.20,21.44
2015-04-06,32.9,23.9,2.70,23.42
2015-04-07,32.3,23.5,0.60,20.44
2015-04-08,31.2,23.7,5.90,18.45
2015-04-09,30.8,24.0,4.50,16.61
2015-04-10,30.4,23.8,1.90,19.24
2015-04-11,32.1,23.6,1.20,21.37
2015-04-12,33.5,24.4,0.70,22.49
2015-04-13,31.1,23.0,5.50,14.80
2015-04-14,32.5,23.5,4.10,20.64
2015-04-15,32.5,23.4,0.20,22.98
2015-04-16,33.1,23.7,3.90,23.10
2015-04-17,27.4,22.6,26.70,12.00
2015-04-18,30.8,23.6,6.80,21.73
2015-04-19,29.9,22.1,0.10,20.02
2015-04-20,31.0,22.8,0.40,23.45
2015-04-21,31.9,23.3,0.10,22.70
2015-04-22,31.0,23.4,0.40,22.38
2015-04-23,32.3,23.2,0.00,23.67
2015-04-24,32.9,23.6,0.90,24.37
2015-04-25,32.2,24.4,0.50,22.76
2015-04-26,31.0,23.4,6.10,19.83
2015-04-27,31.1,23.8,5.00,19.18
2015-04-28,31.9,23.6,29.30,19.60
2015-04-29,30.4,22.9,6.20,19.73
2015-04-30,30.1,23.2,8.90,19.45
2015-05-01,29.6,23.4,17.00,16.99
2015-05-02,29.2,23.1,10.80,18.53
2015-05-03,30.2,23.2,11.60,20.08
2015-05-04,29.2,22.5,7.50,15.35
2015-05-05,29.7,23.2,10.90,19.01
2015-05-06,29.9,22.2,4.60,18.84
2015-05-07,29.6,23.7,1.50,18.18
2015-05-08,29.2,22.7,6.20,16.90
2015-05-09,30.1,22.7,0.70,22.91
2015-05-10,30.2,23.3,0.30,22.01
2015-05-11,29.9,23.1,10.60,20.39
2015-05-12,30.5,23.7,1.40,21.73
2015-05-13,30.7,22.9,0.00,22.10
2015-05-14,30.5,23.3,0.10,22.20
2015-05-15,30.0,23.6,3.90,18.64
2015-05-16,30.0,24.0,2.80,19.99
2015-05-17,30.5,23.7,4.20,18.51
2015-05-18,30.1,23.3,12.70,17.23
2015-05-19,29.3,23.1,17.70,17.87
2015-05-20,30.0,23.6,2.90,19.20
2015-05-21,29.6,22.6,10.40,18.04
2015-05-22,30.7,23.4,1.00,21.27
2015-05-23,29.9,22.9,7.00,18.15
2015-05-24,29.8,23.2,3.00,16.71
2015-05-25,27.0,22.4,18.90,12.76
2015-05-26,30.0,23.2,3.00,21.09
2015-05-27,29.0,22.5,13.20,16.91
2015-05-28,29.2,22.9,4.10,18.04
2015-05-29,29.3,22.6,14.60,15.71
2015-05-30,29.4,22.7,10.00,19.14
2015-05-31,29.6,22.8,4.40,18.66
2015-06-01,28.7,22.5,4.70,16.95
2015-06-02,29.5,22.6,7.50,16.99
2015-06-03,29.7,22.3,3.10,19.20
2015-06-04,29.3,23.1,4.60,19.48
2015-06-05,30.0,23.4,13.00,19.81
2015-06-06,29.9,23.1,5.40,20.06
2015-06-07,29.5,23.3,1.80,20.54
2015-06-08,30.5,22.9,2.80,21.64
2015-06-09,28.7,22.3,14.70,14.25
2015-06-10,29.2,23.2,14.30,15.70
2015-06-11,29.3,22.8,6.20,16.83
2015-06-12,29.5,22.5,8.00,19.03
2015-06-13,29.2,22.8,9.50,17.16
2015-06-14,28.8,23.0,12.80,16.95
2015-06-15,27.6,22.7,18.00,11.85
2015-06-16,29.0,22.7,10.80,17.05
2015-06-17,28.1,23.0,14.40,16.01
2015-06-18,26.4,22.8,31.10,9.81
2015-06-19,27.1,22.9,3.50,10.99
2015-06-20,28.1,23.1,14.00,12.28
2015-06-21,28.7,23.3,4.90,14.53
2015-06-22,27.9,23.5,3.80,10.40
2015-06-23,25.6,22.6,12.50,5.80
2015-06-24,25.0,22.5,13.20,6.40
2015-06-25,27.3,22.4,21.90,11.66
2015-06-26,27.2,22.2,15.60,12.61
2015-06-27,28.2,22.3,14.20,18.40
2015-06-28,28.3,22.6,5.90,16.26
2015-06-29,26.4,21.7,3.20,12.09
2015-06-30,28.0,22.3,3.40,19.94
2015-07-01,27.7,22.7,6.50,14.71
2015-07-02,26.4,22.3,4.00,9.46
2015-07-03,27.4,22.4,2.20,15.29
2015-07-04,28.7,22.5,1.30,20.42
2015-07-05,28.7,22.9,1.40,18.30
2015-07-06,29.2,22.7,0.20,20.70
2015-07-07,29.1,22.4,1.50,18.75
2015-07-08,28.9,23.3,1.60,18.16
2015-07-09,28.4,23.3,1.20,17.51
2015-07-10,28.0,22.8,4.40,15.33
2015-07-11,28.6,22.9,5.10,17.86
2015-07-12,29.1,22.5,1.90,22.75
2015-07-13,29.2,22.4,0.00,22.09
2015-07-14,29.2,22.1,0.00,22.30
2015-07-15,29.8,20.8,0.00,24.54
2015-07-16,29.7,22.4,0.20,23.09
2015-07-17,29.3,22.5,0.50,19.59
2015-07-18,30.1,21.5,0.00,22.55
2015-07-19,29.4,22.5,0.00,22.44
2015-07-20,29.1,22.6,1.80,19.47
2015-07-21,29.0,21.4,10.60,19.18
2015-07-22,29.0,22.1,0.90,20.37
2015-07-23,28.6,22.2,4.90,18.67
2015-07-24,29.2,20.9,10.20,19.69
2015-07-25,28.9,21.5,5.20,19.08
2015-07-26,28.3,22.0,10.10,15.54
2015-07-27,28.7,21.5,8.70,15.60
2015-07-28,28.8,22.0,7.50,19.70
2015-07-29,28.3,22.0,12.00,18.66
2015-07-30,28.5,22.6,8.50,18.17
2015-07-31,27.8,22.2,15.10,13.83
2015-08-01,27.7,22.4,13.80,12.86
2015-08-02,24.4,22.3,26.60,4.25
2015-08-03,24.1,22.4,40.10,4.28
2015-08-04,25.7,22.3,21.50,6.93
2015-08-05,24.7,22.1,14.80,7.03
2015-08-06,27.3,22.1,3.10,16.65
2015-08-07,27.7,22.3,1.90,19.20
2015-08-08,27.4,22.1,1.10,17.95
2015-08-09,28.7,22.0,2.70,23.15
2015-08-10,29.5,22.0,1.20,23.19
2015-08-11,29.1,23.0,1.90,21.27
2015-08-12,29.6,23.0,5.20,18.94
2015-08-13,26.5,21.7,4.40,11.82
2015-08-14,28.5,22.3,6.60,20.12
2015-08-15,29.1,22.6,0.80,22.58
2015-08-16,28.2,22.3,9.20,18.32
2015-08-17,27.7,22.8,6.00,15.20
2015-08-18,27.9,22.2,13.10,14.70
2015-08-19,28.1,22.5,7.60,17.06
2015-08-20,28.4,22.8,2.40,18.67
2015-08-21,28.5,22.9,1.70,19.82
2015-08-22,29.1,22.3,0.00,21.60
2015-08-23,28.9,20.7,0.00,24.87
2015-08-24,29.0,21.5,0.00,24.37
2015-08-25,29.3,21.6,1.00,21.81
2015-08-26,29.6,21.9,0.20,22.91
2015-08-27,29.2,22.7,2.20,20.22
2015-08-28,29.7,22.6,12.50,21.36
2015-08-29,29.3,21.8,11.90,20.07
2015-08-30,29.4,22.3,0.20,22.32
2015-08-31,28.7,22.2,8.70,20.01
2015-09-01,27.4,22.1,19.80,16.05
2015-09-02,28.4,22.8,2.90,17.96
2015-09-03,29.2,22.5,2.80,20.22
2015-09-04,29.6,22.2,0.30,21.95
2015-09-05,29.5,22.5,0.20,22.32
2015-09-06,28.7,22.5,11.80,18.16
2015-09-07,29.3,22.9,0.80,21.47
2015-09-08,28.6,21.6,0.80,19.97
2015-09-09,28.7,23.0,1.60,19.77
2015-09-10,28.6,22.1,10.00,16.57
2015-09-11,28.8,22.2,12.90,20.70
2015-09-12,29.1,22.8,3.10,19.53
2015-09-13,29.1,22.8,7.20,17.62
2015-09-14,28.4,22.4,12.20,13.97
2015-09-15,25.5,22.1,16.70,7.57
2015-09-16,25.9,21.2,15.20,8.49
2015-09-17,28.8,22.6,3.50,21.77
2015-09-18,29.6,23.1,2.00,20.98
2015-09-19,29.1,22.7,8.20,16.91
2015-09-20,29.0,22.9,9.60,19.78
2015-09-21,27.6,22.8,10.00,14.10
2015-09-22,27.2,22.4,6.30,12.02
2015-09-23,28.7,21.1,0.30,14.25
2015-09-24,28.6,22.4,0.70,19.80
2015-09-25,27.8,22.4,3.20,17.47
2015-09-26,28.7,22.6,4.50,19.85
2015-09-27,29.5,22.4,0.10,22.03
2015-09-28,29.7,22.2,4.00,22.24
2015-09-29,29.7,22.5,1.20,21.38
2015-09-30,28.9,22.2,6.40,17.05
2015-10-01,28.8,21.9,1.40,19.29
2015-10-02,28.9,20.2,0.00,23.62
2015-10-03,29.4,22.5,0.40,23.41
2015-10-04,27.8,22.2,19.90,14.31
2015-10-05,28.2,22.3,5.70,16.48
2015-10-06,29.8,22.5,8.30,21.72
2015-10-07,29.8,22.3,0.00,22.59
2015-10-08,28.9,22.1,11.90,17.41
2015-10-09,28.4,22.5,21.10,18.39
2015-10-10,25.8,21.9,17.50,9.16
2015-10-11,27.8,21.9,15.50,17.18
2015-10-12,29.1,21.6,5.80,20.80
2015-10-13,28.7,21.7,4.80,19.23
2015-10-14,29.4,22.7,3.30,20.85
2015-10-15,28.4,22.5,4.70,16.89
2015-10-16,28.7,22.6,0.70,19.91
2015-10-17,28.4,22.3,2.80,19.32
2015-10-18,29.6,22.4,1.00,21.93
2015-10-19,29.7,22.2,0.00,22.88
2015-10-20,29.1,22.0,0.10,20.74
2015-10-21,28.4,21.9,0.70,19.07
2015-10-22,28.8,21.6,0.30,20.40
2015-10-23,29.0,21.7,1.70,19.42
2015-10-24,29.0,22.1,1.40,21.03
2015-10-25,28.9,22.5,0.50,21.84
2015-10-26,29.4,21.9,0.40,22.51
2015-10-27,29.7,22.8,0.10,24.08
2015-10-28,29.2,22.6,1.00,19.07
2015-10-29,29.3,22.4,0.90,19.84
2015-10-30,29.9,22.9,0.10,21.20
2015-10-31,29.7,22.6,3.60,18.82
2015-11-01,29.3,23.0,1.50,19.58
2015-11-02,28.0,22.4,16.80,10.90
2015-11-03,28.2,22.3,9.60,15.39
2015-11-04,29.0,22.6,1.80,18.38
2015-11-05,29.4,22.4,17.40,18.01
2015-11-06,28.2,22.3,8.70,14.59
2015-11-07,28.8,22.1,9.30,17.29
2015-11-08,29.4,22.3,11.40,17.13
2015-11-09,28.8,22.1,9.00,16.59
2015-11-10,29.0,22.4,3.10,17.25
2015-11-11,28.6,21.7,11.20,17.38
2015-11-12,28.3,22.3,1.90,19.69
2015-11-13,27.7,22.1,5.70,13.31
2015-11-14,27.9,22.1,0.50,14.93
2015-11-15,29.0,22.8,0.50,19.15
2015-11-16,29.2,22.7,1.30,18.81
2015-11-17,28.2,22.6,5.60,14.97
2015-11-18,28.4,22.0,2.70,16.34
2015-11-19,28.7,22.3,13.00,16.61
2015-11-20,28.7,22.1,1.60,16.81
2015-11-21,29.0,23.0,6.80,18.08
2015-11-22,27.6,22.6,18.30,13.54
2015-11-23,29.3,22.8,3.90,16.89
2015-11-24,29.2,22.7,13.40,16.28
2015-11-25,29.4,22.6,6.40,17.59
2015-11-26,29.3,22.8,6.20,16.66
2015-11-27,28.6,22.6,7.80,16.44
2015-11-28,29.4,22.5,1.60,19.89
2015-11-29,29.7,22.0,0.00,22.46
2015-11-30,29.0,22.9,0.80,19.53
2015-12-01,29.1,22.8,4.60,18.64
2015-12-02,29.5,22.6,4.50,17.24
2015-12-03,28.6,21.8,2.70,17.58
2015-12-04,29.4,22.2,0.00,22.42
2015-12-05,29.4,22.9,0.00,20.60
2015-12-06,29.5,23.0,1.10,19.33
2015-12-07,29.4,22.9,1.20,17.46
2015-12-08,28.7,22.7,0.50,16.49
2015-12-09,29.1,23.1,0.10,18.57
2015-12-10,29.4,22.9,1.60,14.15
2015-12-11,29.8,23.2,0.90,19.99
2015-12-12,29.6,22.9,0.50,17.41
2015-12-13,29.6,23.7,3.40,17.28
2015-12-14,29.2,22.9,5.40,14.07
2015-12-15,30.2,23.0,1.10,19.25
2015-12-16,28.7,22.4,8.40,16.15
2015-12-17,29.6,23.0,1.30,18.77
2015-12-18,29.4,23.0,5.80,15.61
2015-12-19,27.8,22.0,15.20,11.44
2015-12-20,28.9,22.2,0.00,18.20
2015-12-21,30.0,22.1,0.10,21.74
2015-12-22,29.6,20.9,0.00,22.06
2015-12-23,29.9,22.1,0.00,22.20
2015-12-24,29.9,22.2,0.10,21.86
2015-12-25,29.3,22.3,0.40,18.93
2015-12-26,29.3,21.2,0.00,19.98
2015-12-27,29.7,22.6,0.00,20.79
2015-12-28,29.4,22.4,2.00,16.77
2015-12-29,29.7,21.0,0.00,18.23
2015-12-30,29.8,22.0,0.20,19.47
2015-12-31,29.4,22.9,1.20,18.44
2016-01-01,30.4,22.1,0.30,19.88
2016-01-02,29.0,22.2,1.20,17.35
2016-01-03,30.4,22.7,0.00,20.33
2016-01-04,29.8,22.0,0.50,18.56
2016-01-05,31.2,22.3,0.00,21.87
2016-01-06,31.9,22.9,0.00,21.84
2016-01-07,30.1,23.0,1.50,17.92
2016-01-08,30.3,22.0,3.10,16.87
2016-01-09,30.6,22.7,10.00,13.36
2016-01-10,29.5,22.8,1.70,18.28
2016-01-11,30.9,22.1,0.40,20.47
2016-01-12,32.0,23.4,0.50,20.19
2016-01-13,30.4,22.9,0.80,19.05
2016-01-14,32.0,22.7,0.00,22.19
2016-01-15,31.8,23.4,0.00,23.78
2016-01-16,31.5,22.4,0.00,16.86
2016-01-17,33.2,23.3,0.00,23.74
2016-01-18,31.3,23.7,0.40,18.84
2016-01-19,30.6,22.1,0.80,17.66
2016-01-20,32.3,22.9,0.00,21.01
2016-01-21,31.8,21.7,0.00,23.21
2016-01-22,32.6,22.7,0.00,24.03
2016-01-23,32.3,22.0,0.00,20.15
2016-01-24,31.5,22.5,0.00,19.84
2016-01-25,32.5,21.7,0.00,24.02
2016-01-26,30.9,23.0,0.10,20.29
2016-01-27,30.9,22.2,0.30,20.28
2016-01-28,31.9,22.2,0.00,25.38
2016-01-29,32.5,22.9,0.00,20.89
2016-01-30,33.2,23.2,0.00,21.47
2016-01-31,32.9,23.5,0.00,24.01
2016-02-01,32.9,24.0,0.00,20.83
2016-02-02,31.6,23.2,1.40,19.42
2016-02-03,31.8,23.7,0.90,20.20
2016-02-04,33.8,24.0,0.80,22.14
2016-02-05,33.6,22.3,0.20,21.64
2016-02-06,34.6,24.1,0.00,23.91
2016-02-07,31.3,22.7,0.40,16.36
2016-02-08,33.1,21.8,0.00,25.42
2016-02-09,33.7,22.7,0.00,24.60
2016-02-10,31.4,22.8,0.80,18.17
2016-02-11,32.0,23.6,0.00,19.49
2016-02-12,33.3,23.9,0.30,22.17
2016-02-13,32.1,23.6,0.80,19.26
2016-02-14,28.2,22.2,2.10,10.13
2016-02-15,33.7,23.5,0.00,24.20
2016-02-16,32.7,23.4,1.30,21.79
2016-02-17,31.8,21.8,0.00,20.27
2016-02-18,33.1,21.6,0.00,25.74
2016-02-19,31.2,24.3,0.20,18.01
2016-02-20,25.3,22.1,7.60,6.82
2016-02-21,32.3,23.0,0.00,21.24
2016-02-22,30.8,23.0,0.90,12.10
2016-02-23,31.8,23.0,0.00,20.92
2016-02-24,32.9,23.1,0.00,23.16
2016-02-25,32.5,22.0,0.00,21.57
2016-02-26,33.1,23.4,0.00,20.75
2016-02-27,31.9,23.8,2.70,20.29
